"Generate an English prompt that check if ""the two ends appear to land on the ground"" is true for an object. Use [placeholder] to represent the object","

Does [placeholder] appear to have both ends landing on the ground?"
"Generate an English prompt that check if ""fluid"" is true for an object. Use [placeholder] to represent the object",Is [placeholder] fluid?
"Generate an English prompt that check if ""smells and tastes earthy and pungent"" is true for an object. Use [placeholder] to represent the object","

Does [placeholder] smell and taste earthy and pungent?"
"Generate an English prompt that check if ""transporting liquids"" is true for an object. Use [placeholder] to represent the object",Is [placeholder] capable of transporting liquids?
"Generate an English prompt that check if ""has hard exterior"" is true for an object. Use [placeholder] to represent the object",Does [placeholder] have a hard exterior?
"Generate an English prompt that check if ""brute force weapon"" is true for an object. Use [placeholder] to represent the object",Is [placeholder] a brute force weapon?
"Generate an English prompt that check if ""feel protected if friendly with you"" is true for an object. Use [placeholder] to represent the object",Does [placeholder] feel protected if they are friendly with you?
"Generate an English prompt that check if ""has wood for furniture"" is true for an object. Use [placeholder] to represent the object",Does [placeholder] have wood for furniture?
"Generate an English prompt that check if ""seen after rainfall"" is true for an object. Use [placeholder] to represent the object",Have you seen [placeholder] after rainfall?
"Generate an English prompt that check if ""has bumps on his body"" is true for an object. Use [placeholder] to represent the object",Does [placeholder] have bumps on his body?
"Generate an English prompt that check if ""has comb"" is true for an object. Use [placeholder] to represent the object",Does [placeholder] have a comb?
"Generate an English prompt that check if ""is popular in spanish cuisine"" is true for an object. Use [placeholder] to represent the object","

Is [placeholder] popular in Spanish cuisine?"
"Generate an English prompt that check if ""shot"" is true for an object. Use [placeholder] to represent the object",Is [placeholder] shot?
"Generate an English prompt that check if ""dashes"" is true for an object. Use [placeholder] to represent the object",Is [placeholder] using dashes?
"Generate an English prompt that check if ""create"" is true for an object. Use [placeholder] to represent the object",Does [placeholder] create anything?
"Generate an English prompt that check if ""loud horn"" is true for an object. Use [placeholder] to represent the object",Does [placeholder] have a loud horn?
"Generate an English prompt that check if ""may have a strap"" is true for an object. Use [placeholder] to represent the object","

Does [placeholder] may have a strap?"
"Generate an English prompt that check if ""cutting"" is true for an object. Use [placeholder] to represent the object",Is [placeholder] capable of cutting?
