Answer using only only word - plum or golfball and not brussel sprout. Which is more similar in meaning to brussel sprout?,golfball
Answer using only only word - onion or golfball and not baseball. Which is more similar in meaning to baseball?,Golfball
Answer using only only word - peach or soccer ball and not watermelon. Which is more similar in meaning to watermelon?,Peach
Answer using only only word - pumpkin or squash ball and not billiard ball. Which is more similar in meaning to billiard ball?,pumpkin
Answer using only only word - rubber ball or tomato and not tennis ball. Which is more similar in meaning to tennis ball?,Rubber ball
Answer using only only word - watermelon or basketball and not medicine ball. Which is more similar in meaning to medicine ball?,Watermelon
Answer using only only word - cantaloupe or MacIntosh apple and not baseball. Which is more similar in meaning to baseball?,cantaloupe
Answer using only only word - blueberry or peach and not baseball. Which is more similar in meaning to baseball?,blueberry
Answer using only only word - basketball or squash ball and not rubber ball. Which is more similar in meaning to rubber ball?,Basketball
Answer using only only word - onion or cherry and not tennis ball. Which is more similar in meaning to tennis ball?,onion
Answer using only only word - brussel sprout or baseball and not walnut. Which is more similar in meaning to walnut?,baseball
Answer using only only word - tennis ball or crab apple and not clementine. Which is more similar in meaning to clementine?,Tennis ball
Answer using only only word - walnut or golfball and not onion. Which is more similar in meaning to onion?,walnut
Answer using only only word - cherry or pea and not wiffle ball. Which is more similar in meaning to wiffle ball?,cherry
Answer using only only word - olive or golfball and not grapefruit. Which is more similar in meaning to grapefruit?,olive
Answer using only only word - radish or wiffle ball and not croquet ball. Which is more similar in meaning to croquet ball?,wiffle ball
Answer using only only word - orange or tennis ball and not baseball. Which is more similar in meaning to baseball?,Tennis ball
Answer using only only word - wiffle ball or beach ball and not soccer ball. Which is more similar in meaning to soccer ball?,Beach ball
Answer using only only word - nectarine or plum and not crab apple. Which is more similar in meaning to crab apple?,Nectarine
Answer using only only word - watermelon or clementine and not cherry. Which is more similar in meaning to cherry?,Watermelon
Answer using only only word - volleyball or baseball and not grapefruit. Which is more similar in meaning to grapefruit?,volleyball
Answer using only only word - grape or billiard ball and not cherry. Which is more similar in meaning to cherry?,grape
Answer using only only word - hocky ball or lemon and not plum. Which is more similar in meaning to plum?,Lemon
Answer using only only word - cherry or wiffle ball and not tomato. Which is more similar in meaning to tomato?,Fruit
Answer using only only word - medicine ball or lime and not blueberry. Which is more similar in meaning to blueberry?,medicine ball
Answer using only only word - volleyball or medicine ball and not bowling ball. Which is more similar in meaning to bowling ball?,volleyball
Answer using only only word - watermelon or tomato and not radish. Which is more similar in meaning to radish?,Watermelon
Answer using only only word - pea or onion and not croquet ball. Which is more similar in meaning to croquet ball?,pea
Answer using only only word - radish or crab apple and not kiwi. Which is more similar in meaning to kiwi?,Radish
Answer using only only word - bowling ball or peach and not tomato. Which is more similar in meaning to tomato?,peach
Answer using only only word - golfball or baseball and not medicine ball. Which is more similar in meaning to medicine ball?,baseball
Answer using only only word - tennis ball or onion and not medicine ball. Which is more similar in meaning to medicine ball?,Onion
Answer using only only word - baseball or cantaloupe and not olive. Which is more similar in meaning to olive?,cantaloupe
Answer using only only word - orange or walnut and not basketball. Which is more similar in meaning to basketball?,"The word ""basketball"" is most similar in meaning to the word ""orange."""
Answer using only only word - lime or peach and not grapefruit. Which is more similar in meaning to grapefruit?,Lime
Answer using only only word - clementine or tennis ball and not soccer ball. Which is more similar in meaning to soccer ball?,tennis ball
Answer using only only word - super ball or golfball and not squash ball. Which is more similar in meaning to squash ball?,Super ball
Answer using only only word - onion or yoga ball and not pumpkin. Which is more similar in meaning to pumpkin?,Onion
Answer using only only word - wiffle ball or pumpkin and not clementine. Which is more similar in meaning to clementine?,Clementine is more similar to pumpkin
Answer using only only word - volleyball or tomato and not grapefruit. Which is more similar in meaning to grapefruit?,Tomato
Answer using only only word - bowling ball or grape and not tomato. Which is more similar in meaning to tomato?,grape
Answer using only only word - baseball or cherry and not pea. Which is more similar in meaning to pea?,Cherry
Answer using only only word - billiard ball or rubber ball and not globe. Which is more similar in meaning to globe?,ball
Answer using only only word - croquet ball or cantaloupe and not golfball. Which is more similar in meaning to golfball?,Croquet ball
Answer using only only word - grapefruit or bowling ball and not MacIntosh apple. Which is more similar in meaning to MacIntosh apple?,bowling ball
